dataset,model,nll_mean,nll_std,kl_divergence_mean,kl_divergence_std,full_wasserstein_mean,full_wasserstein_std,gaussian_mmd_unbiased_mean,gaussian_mmd_unbiased_std,gaussian_mmd_biased_mean,gaussian_mmd_biased_std,n_components,mixture_weights,n_iterations
banana,EM_MIXTURE,3.3853139877319336,0.0,0.8766264465231138,0.047711249551997834,6.962452121871612,1.1503760033774257,0.15755480378866196,0.004227919595797153,0.15988324135541915,0.004165378848669464,5,"0.0050, 0.2607, 0.1262, 0.6032, 0.0050",10
x_shape,EM_MIXTURE,3.48787260055542,0.0,0.9248664892417449,0.038433721289721126,2.171523252794908,0.2489761127592976,0.20419777929782867,0.004179727971642371,0.20611414462327957,0.004142134952496694,5,"0.1018, 0.5843, 0.0538, 0.0700, 0.1901",10
bimodal_shared,EM_MIXTURE,3.507650852203369,0.0,0.8944522715359614,0.03208451605089356,1.4789718679111432,0.129749103623876,0.3094956248998642,0.007290286174354964,0.31070369482040405,0.007260868085453821,5,"0.5683, 0.0158, 0.3685, 0.0106, 0.0369",10
bimodal_different,EM_MIXTURE,6.616105079650879,0.0,6.548450857104629,0.7430417496652559,3.5152482435099275,0.17251055902414345,0.6075395107269287,0.0020439570476412997,0.6081873536109924,0.0020412499126072087,5,"0.0167, 0.0050, 0.9685, 0.0050, 0.0050",10
multimodal,EM_MIXTURE,-11.813629150390625,0.0,3.3400945673181512,0.16383263609330947,2.4872616645887904,0.03064096870187854,0.47074552774429324,0.0036901895364988982,0.4715921938419342,0.003682113971368555,5,"0.0049, 0.0049, 0.9804, 0.0049, 0.0049",10
two_moons,EM_MIXTURE,1.3676540851593018,0.0,3.561204120960317,0.03829375720939527,28.88499965808498,0.7553879358068127,0.6554849207401275,0.00390586620316241,0.6560419619083404,0.0039027435572441074,5,"0.5423, 0.0050, 0.3141, 0.0769, 0.0617",10
rings,EM_MIXTURE,2.5697882175445557,0.0,2.4815062035995306,0.034175667173574405,17.3120951460673,0.23386815980686754,0.40121176838874817,0.002949418368355509,0.402317151427269,0.002941309126032897,5,"0.2665, 0.1413, 0.0156, 0.3853, 0.1913",10
BLR,EM_MIXTURE,-0.7204244136810303,0.0,8.919692663032338,0.047259753882698485,62.695298204758636,0.638836950482059,1.0033702909946443,0.002730069296663809,1.0036092936992644,0.002729102128037027,5,"0.9397, 0.0285, 0.0119, 0.0100, 0.0099",10
BPR,EM_MIXTURE,-1.2330156564712524,0.0,9.712446280200677,0.08399793069680837,23.132109254407563,0.5815127901019476,0.9593247950077057,0.0029463121481109883,0.9595771968364716,0.0029456440536973242,5,"0.0070, 0.0053, 0.0063, 0.0064, 0.9751",10
Weibull,EM_MIXTURE,-1.8205657005310059,0.0,13.413064620192994,0.08450664901854052,53.71351743487939,0.6178859072571724,1.0009045541286468,0.0016060214690631145,1.0011487483978272,0.0016056023274758319,5,"0.9607, 0.0196, 0.0056, 0.0050, 0.0092",10
multimodal-5,EM_MIXTURE,3.6101293563842773,0.0,1.3266093234114078,0.044995963450614504,17.999579052393724,0.7137920219613649,0.19465154707431792,0.0044338890951196456,0.19670026004314423,0.004387590057565719,5,"0.3042, 0.2126, 0.2167, 0.2063, 0.0602",10
