dataset,model,nll_mean,nll_std,kl_divergence_mean,kl_divergence_std,full_wasserstein_mean,full_wasserstein_std,gaussian_mmd_unbiased_mean,gaussian_mmd_unbiased_std,gaussian_mmd_biased_mean,gaussian_mmd_biased_std,n_iterations
banana,NICE,3.229104518890381,0.0,0.03132464572836578,0.0027321219755154368,0.19156871752773957,0.010728789820341419,0.00742248953320086,0.007421843290062691,0.02830221988260746,0.003205360530477225,10
banana,RESFLOW,3.455716133117676,0.0,0.3625786908797932,0.01758422208968712,0.8009390348708787,0.012430637746364754,0.17997176051139832,0.0048374878778753,0.18217865377664566,0.004781051048117196,10
x_shape,NICE,3.5264554023742676,0.0,0.4109947939270235,0.009405809373111846,0.5835312065244718,0.010373621429057844,0.11470580697059632,0.0036365586479240176,0.1180611178278923,0.003538795634891777,10
x_shape,RESFLOW,3.593001365661621,0.0,0.5156676810719066,0.03113639290093401,0.8022837260844886,0.016524379501091358,0.20952577292919158,0.005174249250272406,0.21144458502531052,0.005129473175314632,10
bimodal_shared,NICE,3.1104586124420166,0.0,0.18092952080279917,0.013963177697769735,0.4087970046676904,0.015409573663843299,0.1458599254488945,0.00948736385321746,0.14838294833898544,0.009321189141506607,10
bimodal_shared,RESFLOW,3.2676689624786377,0.0,0.3568642352003014,0.018157348571520675,0.6314354256912027,0.014709238271639771,0.1889211729168892,0.004264175944637121,0.19095564186573027,0.004220270934271804,10
bimodal_different,NICE,2.8600564002990723,0.0,0.03094226776449599,0.005365417260743092,0.2706413503398829,0.06857533366089966,0.02923895847052336,0.006997409763616237,0.04044685699045658,0.004845321457337368,10
bimodal_different,RESFLOW,3.735142230987549,0.0,0.93111774676803,0.029708821159034997,1.4283533307606278,0.022931759744350876,0.351872655749321,0.005439880784692844,0.3530468612909317,0.005421537294234052,10
multimodal,NICE,3.3967957496643066,0.0,0.04885193364176936,0.006939478418601237,0.3267866921519367,0.05712630026951236,0.04951542057096958,0.006287164511516312,0.05730901323258877,0.00543789697199386,10
multimodal,RESFLOW,3.845292091369629,0.0,0.5767996251528802,0.018695384798887184,1.0764869831855763,0.022473988284737362,0.22622542083263397,0.005976289437343139,0.2281205639243126,0.005926507718524841,10
two_moons,NICE,1.1143161058425903,0.0,0.08136704638326363,0.008417474218294195,0.17044852480452705,0.02229251955886308,0.06062510386109352,0.011931200423390291,0.06478413082659244,0.011061417998063261,10
two_moons,RESFLOW,2.614302635192871,0.0,1.2960712028927155,0.012675159037031997,1.0167460744090457,0.02403002927265991,0.3334317773580551,0.008651627554675042,0.33436565697193144,0.008630297496784971,10
rings,NICE,3.437851667404175,0.0,0.4647690372868309,0.01739104024304836,0.4668171204852184,0.012623250349990966,0.04920463934540749,0.007050034958111404,0.05678786486387253,0.006032846994950734,10
rings,RESFLOW,3.4563472270965576,0.0,0.5471595766607342,0.014313323023987098,0.6394746486495417,0.016882534256424286,0.07524852864444256,0.005946515593723868,0.08055024743080139,0.005529812977549458,10
BLR,NICE,-3.4580862522125244,0.0,0.04900984879887136,0.0042295852210005695,0.007702787911351475,0.0007296949806697196,0.0038794949650764465,0.001204174788969108,0.004370167967863381,0.001072940319040063,10
BLR,RESFLOW,2.2630484104156494,0.0,5.855168276180787,0.05918649766802593,1.683961508756373,0.02218108465671506,0.681181526184082,0.006705241558593011,0.6814555287361145,0.00670371701941641,10
BPR,NICE,-4.420836448669434,0.0,0.08825692965398012,0.008590415069104762,0.010090188833172373,0.0005868161746161083,0.009297089278697967,0.0006534132496615252,0.009370284900069237,0.0006471063735964633,10
BPR,RESFLOW,2.185004711151123,0.0,6.747078142522913,0.0685810316894564,1.6453574622171971,0.012567268296969991,0.6598388731479645,0.006601048453527213,0.6601175963878632,0.006599370837615841,10
Weibull,NICE,-6.491311550140381,0.0,0.05002710960408672,0.005145232562480911,0.001991840200433853,0.00012147582379066883,0.0013928519561886787,0.00017293758563287982,0.0014371011173352599,0.00015239913176949812,10
Weibull,RESFLOW,2.421112298965454,0.0,9.036975283539467,0.06939190248129913,2.0007968314374045,0.02116134809629943,0.7452913105487824,0.005479278304507695,0.7455454647541047,0.005478395591607812,10
multimodal-5,NICE,3.2778897285461426,0.0,0.06510574689012197,0.0066431879635449895,0.2507580232818541,0.027928637561959332,0.04291838146746159,0.006684477178825693,0.051265185326337816,0.005638332978740448,10
multimodal-5,RESFLOW,3.451401948928833,0.0,0.3146508881297883,0.01450561902469371,0.7233636429875089,0.022097141306637057,0.16307622492313384,0.005852575710022106,0.16553710252046586,0.005767607694928962,10
