dataset,model,nll_mean,nll_std,kl_divergence_mean,kl_divergence_std,full_wasserstein_mean,full_wasserstein_std,gaussian_mmd_unbiased_mean,gaussian_mmd_unbiased_std,gaussian_mmd_biased_mean,gaussian_mmd_biased_std,weight,weights_trained,n_iterations
banana,MIXTURE,3.546504020690918,0.0,0.05184608161401563,0.005533541069476222,0.2779646359228091,0.016743993550152395,0.03574520424008369,0.0068626325689189705,0.04517126120626926,0.005390785531956985,N/A,Yes,10
banana,REALNVP,5.408424377441406,0.0,0.038941370317633596,0.006160869145187036,0.24968745506904774,0.023531206893363486,0.028254050016403198,0.007246007903236889,0.039667782932519914,0.004962840098236607,0.2535459,Yes,10
banana,MAF,25.86591339111328,0.0,0.05216668284803848,0.005472626666411358,0.2593340947751591,0.012715319934364578,0.047341641038656235,0.0074398805945050965,0.05477701462805271,0.006474734711980604,0.018809995,Yes,10
banana,RBIG,4.131054878234863,0.0,0.06772247754574372,0.013236683108143894,0.31616779309860593,0.015651766077007474,0.0391517385840416,0.008937752594336733,0.047993235662579535,0.0073341023608237904,0.7276439,Yes,10
x_shape,MIXTURE,3.438217878341675,0.0,0.07625769581910494,0.015994195195279743,1.264513782987708,2.8736136425223724,0.04519255980849266,0.00544158557081052,0.053030972555279735,0.004612563464846169,N/A,Yes,10
x_shape,REALNVP,4.711930751800537,0.0,0.039634052660597476,0.003194895490364234,0.2892526527887104,0.02391323760902113,0.04182949513196945,0.009298888240838464,0.05033666491508484,0.00766802115884078,0.21760331,Yes,10
x_shape,MAF,3.9115328788757324,0.0,0.10801936937883645,0.12802754138446668,1.9917113093807486,1.9143330030050925,0.03670627661049366,0.0042259367686244415,0.04587932750582695,0.003381684146374913,0.4364098,Yes,10
x_shape,RBIG,4.362168788909912,0.0,0.22167352925456332,0.015160398149599526,0.5131715493151537,0.019054014805898925,0.10933296531438827,0.005968493869683713,0.11281126216053963,0.005780040104504862,0.3459866,Yes,10
bimodal_shared,MIXTURE,3.2248079776763916,0.0,0.02789782139425026,0.0036518754906964272,0.19273250080655285,0.0176333116762897,0.01281471154652536,0.011062018674308132,0.030639784410595894,0.005955285121783835,N/A,Yes,10
bimodal_shared,REALNVP,4.403055667877197,0.0,0.046286524945293686,0.004036038970701197,0.24295874506608783,0.03266710061853712,0.032636736333370206,0.005786233538607863,0.04267225228250027,0.004363622701013515,0.3583931,Yes,10
bimodal_shared,MAF,5.040628433227539,0.0,0.0405932494287674,0.0045669194985782135,0.21916853747158893,0.01835404899476244,0.02878683744929731,0.0111301324082801,0.04048652313649655,0.007228115482127864,0.12575863,Yes,10
bimodal_shared,RBIG,3.576080322265625,0.0,0.026002432768187134,0.002049680388426069,0.17582122322234078,0.011049895504055076,0.0067717669997364284,0.008534646962372505,0.02699838224798441,0.005290809838594478,0.51584804,Yes,10
bimodal_different,MIXTURE,3.00661039352417,0.0,0.05503115655673479,0.005325269384401871,0.46977024662464323,0.08300134112390034,0.0508734181523323,0.005311007910869371,0.057959188148379324,0.004689397290477025,N/A,Yes,10
bimodal_different,REALNVP,3.427694082260132,0.0,0.028841211475476497,0.0038454387230298834,0.42968775423254435,0.08930080143546383,0.03841760251671076,0.00444102919558655,0.04728878103196621,0.0035807874291731018,0.44237226,Yes,10
bimodal_different,MAF,120.3177490234375,0.0,0.02211233849535967,0.0034917611105657227,0.3143186065074879,0.13354857049377405,0.02966192439198494,0.0065573290168418575,0.040634709596633914,0.004797996810447902,0.22471523,Yes,10
bimodal_different,RBIG,3.7138941287994385,0.0,0.1854109638892262,0.011526561301117235,0.7379404297805372,0.04404009468664491,0.12734923809766768,0.008494157768279798,0.13039007559418678,0.008302419190213989,0.3329123,Yes,10
multimodal,MIXTURE,2.9608373641967773,0.0,0.03598586433710194,0.004793118754074497,0.33783779181813556,0.08524360791818766,0.03954467438161373,0.007717849880055637,0.04859969764947891,0.006363962981808693,N/A,Yes,10
multimodal,REALNVP,3.3593010902404785,0.0,0.01810149499724139,0.0017159487634849804,0.23498261887167263,0.05096960327641765,0.029555085115134716,0.006836666692921122,0.040809895098209384,0.005082373011954941,0.50350344,Yes,10
multimodal,MAF,4.357034206390381,0.0,0.02609197262230943,0.0031815637276539923,0.3586294571260161,0.0496577148557815,0.0309461610391736,0.005388016903262656,0.04180280566215515,0.0040337959403655655,0.09909471,Yes,10
multimodal,RBIG,3.8575127124786377,0.0,0.09508021111719236,0.004893021573862385,0.428247565641101,0.031977250940238434,0.07478536143898964,0.00464325010166948,0.0798925057053566,0.0043610620724539445,0.39740163,Yes,10
two_moons,MIXTURE,1.2524304389953613,0.0,0.021346545010129732,0.003552658224687161,0.09595185870879287,0.012493136953669205,0.0032297016587108374,0.006275766444748545,0.019976883847266435,0.004880896613704032,N/A,Yes,10
two_moons,REALNVP,1.59306800365448,0.0,0.012650163711890611,0.002107111493420197,0.10812263825252384,0.022638992669987923,0.009626903850585223,0.011802187701705097,0.022757445834577082,0.009099156827056521,0.37675476,Yes,10
two_moons,MAF,40.24066162109375,0.0,0.011901428819808752,0.001448999827485881,0.0899159104074829,0.012840449605323804,0.01879577022045851,0.01233367629771414,0.030371877923607828,0.007459244945444693,0.38539684,Yes,10
two_moons,RBIG,1.744025468826294,0.0,0.10471563178194368,0.007221981531811921,0.17055331143403843,0.005696537524229364,0.027254277653992177,0.004950545469093942,0.035525806993246076,0.0037254117862598624,0.23784788,Yes,10
rings,MIXTURE,2.5147881507873535,0.0,0.033422494602012055,0.004343951564119419,0.2822371658289563,0.03285644351097608,0.03307467401027679,0.006327184132762984,0.043732954561710356,0.004725503032241123,N/A,Yes,10
rings,REALNVP,3.5575449466705322,0.0,0.03790847829944392,0.002918525642136176,0.40343025893108403,0.03270519219120548,0.055408091843128206,0.006557026376978955,0.06233680434525013,0.005861635915708601,0.20973235,Yes,10
rings,MAF,3.3509809970855713,0.0,0.05099147889131391,0.0049247309282992235,0.3031310516606905,0.016585849530178654,0.05723737329244614,0.0062542645441551244,0.06387836448848247,0.005653347148280112,0.289097,Yes,10
rings,RBIG,3.040696859359741,0.0,0.04986501366743429,0.004755197971699782,0.2674629231275547,0.01816789421617342,0.021319941524416207,0.0076671907654949556,0.035938992723822595,0.004545720617525335,0.5011704,Yes,10
